# スポーツ: バスケットボール・サッカーなど球技で、味方に送球すること。, 化学: パラアミノサリチル酸。苦味のある白色の結晶で、結核の特効薬として内服。ｐａｒａ?ａｍｉｎｏ?ｓａｌｉｃｙｌｉｃ　ａｃｉｄの略称。, ゲーム: トランプなどで、自分の順番をとばして次の番に回すこと。, 学校: （試験などを）通過すること。合格。検定にパスする, 乗り物: 無料の乗車券・入場券。また、定期券。
その他	パス	1986年、チームはイースンからWRスタンリー・モーガンへのパスゲームをゲームプランの中心に組み立て、モーガンはレシーブで1500ヤード近くを獲得した
その他	パス	(あとアダージオのところで最後足を上げて手を回すところもランパスではなくタガーだった) もしかしてキムタガー仕様で踊れるスキンブルが踊るように変更してたんでしょうか
その他	パス	パスは全て共通にして、作者様方のリドミには「記述、演出に関して」とスペシャルサンクス、動画使用や改変等について必ず書くようにさせれば、パス質も今回みたいな騒ぎも無くなるかと
スポーツ	パス	だがこの試合はコブリンヤの攻撃力の高さが際立つ結果となりテイクダウン、パス、バックと次々にポジションを奪いまくり最後はバックからの送り襟絞めで一本負け
学校	パス	「ゆとり教育」方針に基づいて作成された現行教科書(04年検定)に比べ、今回検定をパスした全教科書の平均ページ数は算数で33%、理科で37%増えたことが目立ち、また国語なども含めた全9教科合計でも25%増加した
乗り物	パス	パスを利用する前にヴァリデーション、乗車前に利用日を記入するなどをしておけば利用日は乗り放題で、乗車券を駅の窓口で並んで購入するなどの手間が省け外国旅行者にとって大変便利であった
乗り物	パス	地方の空港で羽田からのモノレール、京急や都区内パスの券売機・売り場があるくらいだから、バス車内で融通効かせてもいいと思うが、バスの労使関係は他交通機関とは違うのかな
その他	パス	ファイル名が 1 つ以上の先行コンポーネントを含む相対パス名である場合、サーバーは、サーバーのデータディレクトリに相対的にファイルを検索します
ゲーム	パス	で、3時間ほどMHFオンラインを遊んでみた個人的な感想なのですが、巷で云われる「廃人ゲー」という意味が何となく理解できたような気がするんだけど、どうも私にはこういう系のゲームは向いてないっぽいので製品版はパス
学校	パス	エマニュエルに相談したら、「アーティスト・イン・レジデンス・プログラム」という企画があり、書類選考をパスすればニューカレドニアに招聘できると言われました
その他	パス	受賞理由=パワーとスピード一辺倒のリーガにあって、MFミクーの卓越したパスセンスとFWクローゼの小技満載のゴールが、頭の固いドイツ人にサッカーの楽しさを再認識させた(地元だけかもしれないけど)
スポーツ	パス	1試合目の前半に2点リードされ、苦しい展開でしたが、細かなパスをやめて、ロングボールでの攻めに切り替えなんとか前半1点返し、後半はグランドにも慣れてきて、なんとか逆転をすることができました
その他	パス	ダウンロードCGIに指定するnameパラメータの値がファイルのパスになりますので、ダウンロードCGIから見たパスにそのファイルがないといけません
学校	パス	こうしたことの原因を全て学校教育のせいにしてもいけないと思うが、たとえば歴史にしても数学にしても、その本質を考えることはおざなりになって、表面的な事象だけ覚えて試験をパスさえすればいいという教育になっていることは、歴然たる事実だ
乗り物	パス	西下 矢田立郎市長は、昨年の十二月議会で「バスは乗車ごとに百円を、地下鉄・新交通は子ども料金(半額)を」と答弁し、市の「広報こうべ」新年号でも、同様の主張をして「敬老パス制度をこれからもずっと続けていくために、市民のみなさんの協力が必要です」と訴えています
ゲーム	パス	こないだはMOTでもライヴをやっていたし(そのときは時間が少し合わなかったのでパスしたが)、なんだかしょっちゅうあちこちで彼らがライブをやってるのに出くわす気がする
乗り物	パス	陸・海・空にわたり、列車、バス、船、飛行機の臨時便の増発を推進していただくとともに、列車利用の促進策として期間中いつでも使えるフリーシーズンパスの発行を検討してはいかがでしょうか
乗り物	パス	小田急のフリーパスを使って、都内から行って、なので移動は勿論、電車、バスになります( ; ゚Д゚)箱根といえば、大涌谷と箱根園の水族館くらぃしか思いつきませんヽ( ́Д`;)ノ交通費抜きで残り予算7000円くらいです( ́ヘ`;)1日目は15時にチェックインする予定です♪大涌谷には行きたくて、水族館は遠いとかなら別にいかなくてもいいです
ゲーム	パス	このカードがこの方法でゲームから取り除かれたとき、そのプレイヤーが次にパスするまでの間、そのプレイヤーは、インスタントをプレイできるときならいつでも、マナ・コストではなく[コスト]を支払うことで、そのカードが手札にあるかのようにプレイしてもよい
その他	パス	中国最多の運航便数ならびに最大規模の路線ネットワークを有する中国南方航空は、スカイチームの最新運賃商品であるチャイナ・パスなどを通じ、世界で最も人気の高い旅行先の一つである中国へのお客様のご旅行をサポートする多様なオプションをご用意しております
乗り物	パス	JR東日本の資本が入っているため、パスネット(線内のみ)とSuicaが利用できますが、イオカードは利用できないため、手持ちのカードが使えたり使えなかったりで混乱するケースがあります
スポーツ	パス	西にボールをはたいた後にファーに逃げる前田と、西のマークについたDFがもともといた位置の間を通って、後方から一気に詰めた藤田に折り返しのパスが入り、ジエンド
ゲーム	パス	噂で聞いている高台の撮影場所へ向かうと、そこには何名かの花火吉が勢ぞろい、最初にお会いした方もいたりしますが、さすがにそこからは放送を聞くのも厳しいですし2km弱あるので花火を楽しむと言うより絵作りになってしまいますから、今回はパスすることにします
スポーツ	パス	バスケットボールにおける歴史や文化、ドリブル、パス、シュート等といった個人技術の向上と攻撃時と守備時における集団技術の向上、ルールを理解させ審判方法やゲーム展開の方法の取得し、同時に中学校、高校の採用試験の内容と知識を取得することを目的とする
ゲーム	パス	先生のお話の中にレメディーの話が出てきてもいつもむずかしそうなのでパスして他の話を聞いていたのですが、愛されるシリーズの本2冊を読んだり愛されるセミナーを受けたりしているうちに少しレメディーについて勉強してみようかなと言う気になりセルフ講座を受けております
スポーツ	パス	あともう1点は、DFのリスク管理というか、繋ぎでの不用意なパスやゲーム観の無さ、といったことを、筑波で他校のゲームを見たりして修正して欲しいと思います
スポーツ	パス	試合は前半二十一分、柳沢選手とのきれいな壁パスを通 した、稲本選手が右足で放った豪快なミドルシュートをゴールキーパーがはじき、結局、この一点を守りきった日本が勝利
乗り物	パス	1日目は関西空港駅で大阪周遊パス南海拡大版2300円(大阪の主な観光施設、通天閣、大阪城、他25施設に使った日なら何回でも無料で入れます)余談ですが、余裕ありましたら道頓堀ならとんぼりリバークルーズなんてどうでしょうか
乗り物	パス	原則宮崎県内を走るバスのみ有効で、県境を越えるバスには使えないことになっている「宮交ホリデーパス」ではあるが、この津留線は問題なく使えるそうだ
その他	パス	ただ、繰り返しになるが、SIerによる業務システム開発プロジェクトに適用する場合、まず、クリティカル・パスが引けるほど確固としたWBSが引けるだろうか
乗り物	パス	4、パドックパス、ピットウォークでのレースクイーンの撮影で、絶対やってはいけない事(タバコ、ローアングル撮影、レースクイーン&車に触れるは除く)は何ですか
乗り物	パス	JR四国では、平成21年4月~6月の「あいたい兵庫デスティネーションキャンペーン」の開催に合わせて、往復のJRに、「姫路城」などの「神戸・姫路エリア」を代表する観光施設の入場(園)券と、周遊バスをセットにした特別企画乗車券「神戸・姫路ぐるりんパス」を3月27日から発売いたします
学校	パス	資格取得後3年以上の実務経験が必須で、試験によって選抜され、厚生労働大臣が指定する研修を受講した後で認定試験をパスした者が柔道整復専科教員となれます
乗り物	パス	パスモを利用できる交通事業者は、現在のパスネットおよびバス共通カード加盟事業者を中心とした関東地方の鉄道・バス事業者の他、山梨県や静岡県の一部にも広がっています
その他	パス	パッチもバグだらけで延長、再延長はもはや定番、さらに鯖もかなり脆弱で、そして重いスキル連発で落ちると言うからゲームそのものがバグ、極めつけはバグでパス抜きが可能と言うゲームとしては致命的な出来
スポーツ	パス	決勝戦はパスで展開するエンジョイさんとの対戦でしたが、走り続けることを強いているかじがや2年生のサッカーなので、4試合目はさすがに足が止まってしまいました
その他	パス	脳卒中において地域連携クリティカルパスを既に導入して医療機関連携の強化を進めているまたは導入に向け検討を進めている医療機関は表3の2の37のとおりである
その他	パス	暖かくソフトなボリューム感を持たせており、使えば使うほどに艶と味がでてくる「キプリス:シルキーキップ・カード入れ付きパスケース」の、ソフト感、しっとり感が、さらに味わい深いものにしてくれるでしょう
学校	パス	当社は、独立系ベンダーとして特定の業種、特定の会社に依存しないため多業種との仕事に関わる可能性があることと併せ技術者のキャリアパス、スキルアップを独自のスキル標準制度によりサポート
乗り物	パス	羽田空港~成田空港間(京急線・都営浅草線・京成線)の割引運賃制度を設定 パスネット・カード利用でも割引運賃が適用されます 2005年8月24日(水)から実施
スポーツ	パス	葉巻をうまく巻けるようになるまで300万本、編物には150万針、バイオリンを弾くには250万小節、歩行には300万歩、行進には6週間で80万歩、フットボールのパスには140万パス、バスケットボールは100万シュート、野球のピッチャーになるには160万投が必要だという
その他	パス	処遇は基本的に等級と役割で決定しますが、CTCSPでは単に役職に留まらない処遇、高いスキルを持った人材が【プロフェッショナル】としてそれぞれの専門分野でそのスキルを発揮できるキャリアパスを用意しています
スポーツ	パス	しかも、この栄えある試合に中学生が年長の高校生を相手にTBパス、スクラムトライ、ドロップゴールと堂々、正面攻撃で勝利を得たのだから池田校長の驚きと感激は、ひとしお大きなものがあったようだ
